model,episode_idx,frames,episode_total_s,obs_s,inference_s,action_s,wait_s,obs_pct,inference_pct,action_pct,wait_pct
so101_act_bottle_cs5,10,101,30.219545,0.454420,27.380036,0.146001,2.239087,1.503728,90.603735,0.483136,7.409401
so101_act_bottle_cs5,11,101,30.626171,0.401910,27.773962,0.130786,2.319512,1.312310,90.687021,0.427040,7.573629
so101_act_bottle_cs5,12,101,30.241165,0.403671,27.413051,0.149957,2.274486,1.334839,90.648133,0.495870,7.521158
so101_act_bottle_cs5,13,101,30.382388,0.360120,27.579640,0.153022,2.289607,1.185291,90.775089,0.503654,7.535966
so101_act_bottle_cs5,14,101,30.487050,0.412140,27.680220,0.150004,2.244686,1.351853,90.793369,0.492024,7.362754
so101_act_bottle_cs5,15,104,30.013965,0.346219,27.088440,0.157370,2.421936,1.153526,90.252789,0.524322,8.069363
so101_act_bottle_cs5,16,101,30.159028,0.428640,27.291271,0.157194,2.281924,1.421266,90.491214,0.521216,7.566304
so101_act_bottle_cs5,17,101,30.041725,0.388347,27.211723,0.154639,2.287016,1.292692,90.579760,0.514749,7.612799
so101_act_bottle_cs5,18,101,30.964379,0.457618,28.079426,0.189236,2.238099,1.477884,90.682995,0.611142,7.227979
so101_act_bottle_cs5,19,101,30.386708,0.433846,27.554453,0.129872,2.268536,1.427751,90.679298,0.427398,7.465554
so101_act_bottle_cs3,0,61,30.086605,0.254430,28.602855,0.079287,1.150033,0.845659,95.068404,0.263528,3.822409
so101_act_bottle_cs3,1,64,30.153717,0.237757,28.641906,0.075883,1.198171,0.788482,94.986321,0.251654,3.973542
so101_act_bottle_cs3,2,67,30.729875,0.251092,29.125807,0.060814,1.292162,0.817093,94.780101,0.197899,4.204906
so101_act_bottle_cs3,3,67,31.195415,0.250803,29.569871,0.075926,1.298814,0.803974,94.789159,0.243390,4.163477
so101_act_bottle_cs3,4,55,30.430701,0.240144,29.066009,0.065073,1.059476,0.789150,95.515408,0.213841,3.481601
so101_act_bottle_cs3,5,49,30.682785,0.162488,29.539116,0.050824,0.930357,0.529574,96.272603,0.165643,3.032180
so101_act_bottle_cs3,6,64,31.190705,0.249978,29.608498,0.075781,1.256448,0.801449,94.927313,0.242960,4.028278
so101_act_bottle_cs3,7,64,30.044154,0.221137,28.497536,0.069619,1.255862,0.736041,94.852183,0.231723,4.180053
so101_act_bottle_cs3,8,62,28.741255,0.268685,27.193427,0.060784,1.218358,0.934842,94.614614,0.211488,4.239057
so101_act_bottle_cs3,9,64,30.054985,0.237236,28.511204,0.072847,1.233698,0.789339,94.863477,0.242379,4.104804
so101_act_bottle_cs3,10,64,30.067929,0.216298,28.527371,0.063539,1.260721,0.719366,94.876407,0.211319,4.192909
so101_act_bottle_cs3,11,67,31.175133,0.274770,29.539526,0.081543,1.279294,0.881375,94.753489,0.261563,4.103573
so101_act_bottle_cs3,12,64,30.208661,0.203055,28.467582,0.282565,1.255460,0.672174,94.236490,0.935377,4.155959
so101_act_bottle_cs3,13,65,29.993751,0.222828,28.407465,0.065327,1.298131,0.742915,94.711279,0.217802,4.328004
so101_act_bottle_cs3,14,64,30.611248,0.282414,29.057753,0.080173,1.190908,0.922582,94.925085,0.261907,3.890426
so101_act_bottle_cs3,15,65,29.984912,0.224506,28.412570,0.080832,1.267005,0.748731,94.756221,0.269575,4.225474
so101_act_bottle_cs3,16,64,30.279666,0.214711,28.760637,0.086847,1.217471,0.709093,94.983336,0.286816,4.020754
so101_act_bottle_cs3,17,66,29.994147,0.211990,28.396579,0.077658,1.307920,0.706770,94.673735,0.258911,4.360584
so101_act_bottle_cs3,18,67,30.863399,0.234791,29.232331,0.059174,1.337103,0.760741,94.715203,0.191730,4.332325
so101_act_bottle_cs3,19,64,30.375615,0.232171,28.843932,0.074489,1.225023,0.764332,94.957526,0.245228,4.032914
so101_act_bottle_cs1,0,24,30.419294,0.083365,30.319247,0.016480,0.000201,0.274054,99.671108,0.054177,0.000661
so101_act_bottle_cs1,1,26,31.060487,0.083845,30.957661,0.018754,0.000227,0.269941,99.668951,0.060378,0.000730
so101_act_bottle_cs1,2,26,30.857552,0.092611,30.745159,0.019442,0.000341,0.300124,99.635768,0.063004,0.001104
so101_act_bottle_cs1,3,23,30.608063,0.077626,27.347697,3.182468,0.000272,0.253612,89.348016,10.397484,0.000888
so101_act_bottle_cs1,4,25,30.058030,0.083762,29.951829,0.022204,0.000235,0.278669,99.646681,0.073869,0.000781
so101_act_bottle_cs1,5,25,30.355771,0.079921,30.256053,0.019538,0.000259,0.263280,99.671504,0.064363,0.000853
so101_act_bottle_cs1,6,25,30.233721,0.074149,30.141834,0.017405,0.000333,0.245252,99.696079,0.057567,0.001101
so101_act_bottle_cs1,7,26,30.992944,0.088053,30.885325,0.019314,0.000251,0.284107,99.652765,0.062318,0.000811
so101_act_bottle_cs1,8,26,30.986374,0.075811,30.893364,0.016977,0.000221,0.244660,99.699837,0.054789,0.000714
so101_act_bottle_cs1,9,26,31.015467,0.108899,30.888450,0.017824,0.000294,0.351113,99.590470,0.057467,0.000949
so101_act_bottle_cs1,10,20,30.032581,0.072374,23.976068,5.983949,0.000190,0.240986,79.833523,19.924859,0.000631
so101_act_bottle_cs1,11,25,30.061553,0.097925,29.943902,0.019495,0.000231,0.325749,99.608632,0.064851,0.000768
so101_act_bottle_cs1,12,24,28.557620,0.076600,28.464586,0.016220,0.000214,0.268230,99.674222,0.056799,0.000750
so101_act_bottle_cs1,13,25,30.084810,0.082748,29.984084,0.017743,0.000236,0.275049,99.665191,0.058975,0.000785
so101_act_bottle_cs1,14,23,27.450747,0.069835,27.365361,0.015348,0.000202,0.254401,99.688949,0.055913,0.000737
so101_act_bottle_cs1,15,26,31.259944,0.085149,31.156413,0.018147,0.000235,0.272390,99.668807,0.058052,0.000751
so101_act_bottle_cs1,16,25,30.516309,0.091256,30.402494,0.022304,0.000256,0.299039,99.627036,0.073088,0.000838
so101_act_bottle_cs1,17,25,30.169342,0.069571,30.082362,0.017187,0.000222,0.230603,99.711693,0.056969,0.000736
so101_act_bottle_cs1,18,23,30.899519,0.077559,27.597595,3.224145,0.000221,0.251003,89.313994,10.434288,0.000715
so101_act_bottle_cs1,19,26,30.989303,0.073951,30.893714,0.021398,0.000240,0.238635,99.691541,0.069049,0.000775
